 x,     y,    z,     r,    vx,   vz,  mode # LAND(2) WAYPOINT(3)
 0.00,  0.00, 1.40, 0.00, 0.50, 0.5, 1
 0.00,  0.00, 1.40, 0.00, 0.50, 0.5, 1
 2.00,  0.00, 1.40, 0.00, 0.50, 0.5, 0
 1.55, -17.45, 1.40, 0.00, 0.50, 0.5, 0
-6.11, -17.60, 1.40, 0.00, 0.50, 0.5, 0
 1.55, -17.45, 1.40, 0.00, 0.50, 0.5, 0
 1.35, -10.78, 1.40, 0.00, 0.50, 0.5, 0
 -6.09, -10.94, 1.40, 0.00, 0.50, 0.5, 0
 1.35, -10.78, 1.40, 0.00, 0.50, 0.5, 0
 1.54, -4.53, 1.40, 0.00, 0.50, 0.5, 0
-6.17, -4.46, 1.40, 0.00, 0.50, 0.5, 0
 1.54, -4.53, 1.40, 0.00, 0.50, 0.5, 0
2.00, 0.00, 1.40, 0.00, 0.50, 0.5, 0
0.00,  0.00, 1.40, 0.00, 0.50, 0.5, 0
0.00,  0.00, 1.40, 0.00, 0.50, -0.5, 2
