 x,     y,    z,     r,    vx,   vz,  mode # LAND(2) WAYPOINT(3)
 0.00,  0.00, 1.30,  0.00, 0.50, 0.5, 0
 0.00,  0.00, 1.30,  0.00, 0.50, 0.5, 0
 3.26,  1.10, 1.30,  0.00, 0.50, 0.5, 0
 4.47,  0.00, 1.30,  0.00, 0.50, 0.5, 3
 0.25,  0.40, 1.30,  0.00, 0.50, 0.5, 0
 0.25, -6.23, 1.30,  0.00, 0.60, 0.5, 0 # darkroom entrance
 4.37, -5.95, 1.30,  0.00, 0.40, 0.5, 0
 8.00, -5.91, 1.30,  0.00, 0.40, 0.5, 0
 8.14,-10.40, 1.30,  0.00, 0.40, 0.5, 0 # darkroom exit
 5.86,-11.18, 1.30,  0.00, 0.60, 0.5, 0
 7.05,-15.16, 1.30,  0.00, 0.50, 0.5, 0
 9.40,-14.34, 1.30,  0.00, 0.50, 0.5, 0
13.57,-11.64, 1.30,  0.00, 0.60, 0.5, 0
19.00,-10.62, 1.30,  0.00, 0.60, 0.5, 0
19.00,-12.62, 1.30,  0.00, 0.50, 0.5, 0
19.07,-15.46, 1.30,  0.20, 0.50, 0.5, 3
19.07,-16.46, 1.30, -0.20, 0.50, 0.5, 3
19.00,-12.62, 1.30,  0.00, 0.50, 0.5, 3
19.00,-10.62, 1.30,  0.00, 0.50, 0.5, 0
25.40,-10.62, 1.30,  0.00, 0.60, 0.5, 0
25.40,-12.62, 1.30,  0.00, 0.50, 0.5, 0
25.40,-15.46, 1.30,  0.20, 0.50, 0.5, 3
25.40,-16.46, 1.30, -0.20, 0.50, 0.5, 3
25.40,-12.62, 1.30,  0.00, 0.50, 0.5, 3
25.40,-10.62, 1.30,  0.00, 0.50, 0.5, 0
31.80,-10.62, 1.30,  0.00, 0.60, 0.5, 0
31.80,-12.62, 1.30,  0.00, 0.50, 0.5, 0
31.80,-15.46, 1.30,  0.20, 0.50, 0.5, 3
31.80,-16.46, 1.30, -0.20, 0.50, 0.5, 3
31.80,-12.62, 1.30,  0.00, 0.50, 0.5, 3
31.80,-10.62, 1.30,  0.00, 0.50, 0.5, 0
31.80,-10.62, 1.30,  0.00, 0.50, -0.4, 0
