 x,     y,    z,     r,    vx,   vz
 1.80,  0.00, 1.20,  0.00, 0.60, 0.5
 1.80,  0.00, 1.20,  0.00, 0.60, 0.5
 1.60,  5.73, 1.20, -0.20, 0.60, 0.5
 1.60,  6.73, 1.20,  0.20, 0.60, 0.5
 1.80,  0.00, 1.20,  0.00, 0.60, 0.5
 8.19,  0.20, 1.20,  0.00, 0.60, 0.5
 8.16,  5.84, 1.20, -0.20, 0.60, 0.5
 8.16,  6.84, 1.20,  0.20, 0.60, 0.5
 8.19,  0.20, 1.20,  0.00, 0.60, 0.5
14.60,  0.10, 1.20,  0.00, 0.60, 0.5
14.60,  5.64, 1.20, -0.20, 0.60, 0.5
14.60,  6.64, 1.20,  0.20, 0.60, 0.5
14.60,  0.10, 1.20,  0.00, 0.60, 0.5
21.47,  1.00, 1.20,  0.00, 0.60, 0.5 # hall way center
#22.08,  1.90, 1.20,  0.00, 0.70, 0.5
#24.39,  4.39, 1.20,  0.00, 0.70, 0.5
#26.39,  4.39, 1.20,  0.00, 0.70, 0.5
#27.67,  1.94, 1.20,  0.00, 0.70, 0.5
26.53,  0.21, 1.20,  0.00, 0.60, 0.5 # darkroom enterance
25.54, -3.91, 1.20,  0.00, 0.45, 0.5
27.52, -4.35, 1.20,  0.00, 0.45, 0.5
33.82, -4.15, 1.20,  0.00, 0.45, 0.5
33.57,-10.80, 1.20,  0.00, 0.60, 0.5
27.43,-10.90, 1.20,  0.20, 0.60, 0.5
28.43,-10.90, 1.20, -0.20, 0.60, 0.5
33.57,-10.80, 1.20,  0.00, 0.60, 0.5
33.57,-10.80, 1.20,  0.00, 0.60, -0.4
